timestamp,window_id,slug,event,status_before,current_atr,spot_price,ptb,ptb_delta_usd,ptb_delta_pct,up_bid,up_ask,down_bid,down_ask
1781211599604,5,btc-updown-15m-1781211600,promote_skipped,WAITING_ENTRY,27.4500,63333.3247,,,,0.5000,0.5100,0.5000,0.5100
1781212499609,6,btc-updown-15m-1781212500,promote_skipped,WAITING_ENTRY,29.1286,63496.3488,,,,0.4500,0.4600,0.5500,0.5600
1781213399616,7,btc-updown-15m-1781213400,promote_skipped,WAITING_ENTRY,24.5071,63415.5373,,,,0.4900,0.5000,0.5100,0.5200
1781214299619,8,btc-updown-15m-1781214300,promote_skipped,WAITING_ENTRY,26.4714,63470.1234,,,,0.4900,0.5000,0.5100,0.5200
1781215199626,9,btc-updown-15m-1781215200,promote_skipped,WAITING_ENTRY,30.6500,63455.9237,,,,0.4900,0.5000,0.5100,0.5200
1781216099631,10,btc-updown-15m-1781216100,promote_skipped,WAITING_ENTRY,44.6714,63570.5447,,,,0.4500,0.4600,0.5400,0.5500
1781216999637,11,btc-updown-15m-1781217000,promote_skipped,WAITING_ENTRY,29.6571,63526.9032,,,,0.4900,0.5000,0.5000,0.5100
1781217899858,12,btc-updown-15m-1781217900,promote_skipped,WAITING_ENTRY,32.3143,63445.9392,,,,0.5000,0.5100,0.5000,0.5100
1781218799643,13,btc-updown-15m-1781218800,promote_skipped,WAITING_ENTRY,27.8000,63441.4240,,,,0.5200,0.5300,0.4800,0.4900
1781219699646,14,btc-updown-15m-1781219700,promote_skipped,WAITING_ENTRY,35.2500,63344.3234,,,,0.5500,0.5600,0.4500,0.4600
1781220599650,15,btc-updown-15m-1781220600,promote_skipped,WAITING_ENTRY,29.5643,63316.6746,,,,0.5600,0.5700,0.4400,0.4500
1781221499653,16,btc-updown-15m-1781221500,promote_skipped,WAITING_ENTRY,46.3286,63572.1757,,,,0.4700,0.4800,0.5300,0.5500
1781222399657,17,btc-updown-15m-1781222400,promote_skipped,WAITING_ENTRY,33.0357,63557.9697,,,,0.4800,0.4900,0.5200,0.5300
1781223299663,18,btc-updown-15m-1781223300,promote_skipped,WAITING_ENTRY,50.5000,63669.7627,,,,0.4300,0.4500,0.5700,0.5800
1781224199667,19,btc-updown-15m-1781224200,promote_skipped,WAITING_ENTRY,45.1143,63552.6677,,,,0.5000,0.5100,0.5000,0.5100
1781225099671,20,btc-updown-15m-1781225100,promote_skipped,WAITING_ENTRY,40.4500,63586.9923,,,,0.4900,0.5000,0.5000,0.5100
1781225999676,21,btc-updown-15m-1781226000,promote_skipped,WAITING_ENTRY,27.9571,63579.1367,,,,0.4900,0.5000,0.5100,0.5200
1781226899682,22,btc-updown-15m-1781226900,promote_skipped,WAITING_ENTRY,43.8714,63418.2670,,,,0.5000,0.5200,0.5000,0.5100
1781227799688,23,btc-updown-15m-1781227800,promote_skipped,WAITING_ENTRY,43.9143,63284.1984,,,,0.5500,0.5600,0.4500,0.4600
1781228699693,24,btc-updown-15m-1781228700,promote_skipped,WAITING_ENTRY,35.6357,63297.1468,,,,0.5400,0.5500,0.4600,0.4700
1781229599697,25,btc-updown-15m-1781229600,promote_skipped,WAITING_ENTRY,34.6786,63351.3826,,,,0.4900,0.5000,0.5100,0.5200
1781230499698,26,btc-updown-15m-1781230500,promote_skipped,WAITING_ENTRY,48.3857,63582.2576,,,,0.4600,0.4700,0.5400,0.5500
1781231399701,27,btc-updown-15m-1781231400,promote_skipped,WAITING_ENTRY,36.5000,63474.7159,,,,0.5000,0.5100,0.5000,0.5100
1781232299708,28,btc-updown-15m-1781232300,promote_skipped,WAITING_ENTRY,35.4571,63549.6035,,,,0.4900,0.5000,0.5100,0.5200
1781233199712,29,btc-updown-15m-1781233200,promote_skipped,WAITING_ENTRY,21.3286,63529.4296,,,,0.4900,0.5000,0.5100,0.5200
1781234099926,30,btc-updown-15m-1781234100,promote_skipped,WAITING_ENTRY,26.6071,63445.5785,,,,0.5100,0.5200,0.4900,0.5000
1781234999722,31,btc-updown-15m-1781235000,promote_skipped,WAITING_ENTRY,34.4214,63348.5742,,,,0.5400,0.5500,0.4600,0.4700
1781235899725,32,btc-updown-15m-1781235900,promote_skipped,WAITING_ENTRY,33.9857,63383.7540,,,,0.5000,0.5100,0.5000,0.5100
1781236799729,33,btc-updown-15m-1781236800,promote_skipped,WAITING_ENTRY,22.6429,63431.3009,,,,0.4800,0.4900,0.5200,0.5300
1781237699730,34,btc-updown-15m-1781237700,promote_skipped,WAITING_ENTRY,34.5357,63411.5810,,,,0.4700,0.4900,0.5200,0.5300
1781238599733,35,btc-updown-15m-1781238600,promote_skipped,WAITING_ENTRY,56.6714,63702.3026,,,,0.4200,0.4300,0.5800,0.5900
1781239499734,36,btc-updown-15m-1781239500,promote_skipped,WAITING_ENTRY,36.7000,63629.1488,,,,0.4700,0.4800,0.5300,0.5400
1781240399735,37,btc-updown-15m-1781240400,promote_skipped,WAITING_ENTRY,20.6000,63612.6266,,,,0.4900,0.5000,0.5100,0.5200
1781241299742,38,btc-updown-15m-1781241300,promote_skipped,WAITING_ENTRY,42.1143,63352.6060,,,,0.5300,0.5400,0.4700,0.4800
1781242199960,39,btc-updown-15m-1781242200,promote_skipped,WAITING_ENTRY,24.2786,63400.5820,,,,0.5400,0.5500,0.4500,0.4700
