window_id,slug,spent,returned,pnl,timestamp
1,btc-updown-5m-1779999600,43.24,22.12,-21.11,1779999899022
2,btc-updown-5m-1779999900,30.00,35.46,5.46,1780000199024
3,btc-updown-5m-1780000200,30.00,38.11,8.11,1780000499026
4,btc-updown-5m-1780000500,30.00,21.16,-8.84,1780000799025
5,btc-updown-5m-1780000800,30.00,21.23,-8.77,1780001099028
1,btc-updown-5m-1780002600,30.00,32.24,2.24,1780002899593
2,btc-updown-5m-1780002900,43.24,113.77,70.53,1780003199594
3,btc-updown-5m-1780003200,42.98,32.51,-10.47,1780003499595
1,btc-updown-5m-1780004100,43.50,33.14,-10.36,1780004399180
2,btc-updown-5m-1780004400,43.24,32.83,-10.41,1780004699183
3,btc-updown-5m-1780004700,30.00,27.05,-2.95,1780004999185
4,btc-updown-5m-1780005000,43.24,32.97,-10.27,1780005299223
5,btc-updown-5m-1780005300,30.00,31.57,1.57,1780005599188
6,btc-updown-5m-1780005600,43.50,115.08,71.58,1780005899191
7,btc-updown-5m-1780005900,30.00,23.25,-6.75,1780006199191
2,btc-updown-15m-1780005600,42.98,118.59,75.61,1780006499148
8,btc-updown-5m-1780006200,30.00,26.03,-3.97,1780006499192
9,btc-updown-5m-1780006500,30.00,18.89,-11.11,1780006799195
10,btc-updown-5m-1780006800,30.00,28.10,-1.90,1780007099198
3,btc-updown-15m-1780006500,30.00,26.78,-3.22,1780007399155
11,btc-updown-5m-1780007100,30.00,27.05,-2.95,1780007399198
12,btc-updown-5m-1780007400,30.00,18.89,-11.11,1780007699202
4,btc-updown-15m-1780007400,30.00,27.05,-2.95,1780008299159
14,btc-updown-5m-1780008000,30.00,26.78,-3.22,1780008299205
16,btc-updown-5m-1780008600,30.00,32.16,2.16,1780008899209
17,btc-updown-5m-1780008900,30.00,26.98,-3.02,1780009199208
18,btc-updown-5m-1780009200,43.50,33.22,-10.28,1780009499210
19,btc-updown-5m-1780009500,43.24,33.89,-9.34,1780009799212
20,btc-updown-5m-1780009800,30.00,30.14,0.14,1780010099213
21,btc-updown-5m-1780010100,30.00,32.54,2.54,1780010399213
22,btc-updown-5m-1780010400,30.00,26.78,-3.22,1780010699216
7,btc-updown-15m-1780010100,30.00,31.69,1.69,1780010999173
23,btc-updown-5m-1780010700,43.50,32.06,-11.44,1780010999216
24,btc-updown-5m-1780011000,30.00,31.54,1.54,1780011299218
25,btc-updown-5m-1780011300,30.00,26.53,-3.47,1780011599221
8,btc-updown-15m-1780011000,30.00,27.34,-2.66,1780011899175
26,btc-updown-5m-1780011600,30.00,29.06,-0.94,1780011899219
27,btc-updown-5m-1780011900,30.00,27.05,-2.95,1780012199221
28,btc-updown-5m-1780012200,43.50,33.19,-10.31,1780012499221
9,btc-updown-15m-1780011900,30.00,32.09,2.09,1780012799176
29,btc-updown-5m-1780012500,43.24,32.97,-10.26,1780012799220
30,btc-updown-5m-1780012800,43.24,32.97,-10.26,1780013099223
10,btc-updown-15m-1780012800,43.50,32.67,-10.83,1780013699178
11,btc-updown-15m-1780013700,42.98,33.10,-9.88,1780014599180
14,btc-updown-15m-1780016400,43.50,31.64,-11.86,1780017299179
15,btc-updown-15m-1780017300,30.00,18.89,-11.11,1780018199180
18,btc-updown-15m-1780020000,30.00,31.48,1.48,1780020899221
19,btc-updown-15m-1780020900,30.00,18.82,-11.18,1780021799178
20,btc-updown-15m-1780021800,43.78,118.41,74.63,1780022699178
21,btc-updown-15m-1780022700,30.00,31.68,1.68,1780023599178
23,btc-updown-15m-1780024500,30.00,26.00,-4.00,1780025399176
24,btc-updown-15m-1780025400,30.00,31.69,1.69,1780026299177
25,btc-updown-15m-1780026300,30.00,26.51,-3.49,1780027199176
29,btc-updown-15m-1780029900,30.00,32.09,2.09,1780030799178
32,btc-updown-15m-1780032600,30.00,27.05,-2.95,1780033499179
33,btc-updown-15m-1780033500,43.50,32.54,-10.96,1780034399178
34,btc-updown-15m-1780034400,30.00,27.79,-2.21,1780035299177
35,btc-updown-15m-1780035300,43.24,32.84,-10.39,1780036199177
36,btc-updown-15m-1780036200,30.00,26.03,-3.97,1780037099181
37,btc-updown-15m-1780037100,43.24,33.04,-10.20,1780037999221
39,btc-updown-15m-1780038900,30.00,18.82,-11.18,1780039799185
40,btc-updown-15m-1780039800,30.00,27.05,-2.95,1780040699189
41,btc-updown-15m-1780040700,30.00,30.49,0.49,1780041599188
42,btc-updown-15m-1780041600,43.50,32.68,-10.82,1780042499188
43,btc-updown-15m-1780042500,42.98,33.47,-9.51,1780043399231
44,btc-updown-15m-1780043400,30.00,31.91,1.91,1780044299190
46,btc-updown-15m-1780045200,43.24,32.76,-10.47,1780046099191
47,btc-updown-15m-1780046100,30.00,32.29,2.29,1780046999192
50,btc-updown-15m-1780048800,30.00,23.88,-6.12,1780049699193
